EXPENDITURE_ID,PERIOD_START,PERIOD_END,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_MIDDLE_INITIAL,LOBBYIST_LAST_NAME,ACTION,AMOUNT,EXPENDITURE_DATE,PURPOSE,RECIPIENT,CLIENT_ID,CLIENT_NAME,CREATED_DATE
2426667412,01/01/2020,03/31/2020,18822,JOHN,A,ESCOBAR,ADMINISTRATIVE,400.00,02/29/2020,ZONING SEARCH,"CHICAGO TITLE COMPANY, 2615 W 37TH PL.,CHICAGO, IL 60632",1718157176,"CWAZ, LLC",12/15/2020
2426667412,01/01/2020,03/31/2020,18822,JOHN,A,ESCOBAR,ADMINISTRATIVE,400.00,02/29/2020,ZONING SEARCH,"CHICAGO TITLE COMPANY, 2615 W 37TH PL.,CHICAGO, IL 60632",3919248602,2615 JD PLACE LLC,12/15/2020
1145604917,01/01/2020,03/31/2020,18822,JOHN,A,ESCOBAR,ADMINISTRATIVE,400.00,03/09/2020,ZONING SEARCH,"CHICAGO TITLE COMPANY, 2615 W 37TH PL.,CHICAGO, IL 60632",2482211545,"CWAZ, LLC",12/15/2020
2426667412,01/01/2020,03/31/2020,18822,JOHN,A,ESCOBAR,ADMINISTRATIVE,400.00,02/29/2020,ZONING SEARCH,"CHICAGO TITLE COMPANY, 2615 W 37TH PL.,CHICAGO, IL 60632",979362471,2614-16 JD STREET LLC,12/15/2020
3278665215,01/01/2020,03/31/2020,18822,JOHN,A,ESCOBAR,ADMINISTRATIVE,400.00,02/04/2020,ZONING SEARCH,"CHICAGO TITLE COMPANY, 2615 W 37TH PL.,CHICAGO, IL 60632",3783668665,"CWAZ, LLC",12/15/2020
838210460,04/01/2020,06/30/2020,18822,JOHN,A,ESCOBAR,ADMINISTRATIVE,1025.00,06/05/2020,APPLICATION FEE,"CITY OF CHICAGO, 121 N. LA SALLE ST., 8TH FLOOR, CHICAGO, IL 60602",1718157176,"CWAZ, LLC",12/15/2020
2439693796,01/01/2020,03/31/2020,18822,JOHN,A,ESCOBAR,ADMINISTRATIVE,400.00,01/27/2020,ZONING SEARCH,"CHICAGO TITLE COMPANY, 2615 W 37TH PL.,CHICAGO, IL 60632",3490042272,FROYLAND GARCIA AND ROSA GARCIA,12/15/2020
393859768,10/01/2020,12/31/2020,5861,THOMAS,S,MOORE,VARIATION,525.00,12/17/2020,FILING FEE,CITY OF CHICAGO,2517500273,"BLAHNIK, LUCAS",12/28/2020
1745248838,10/01/2020,12/31/2020,5861,THOMAS,S,MOORE,VARIATION,525.00,11/30/2020,FILING FEE,CITY OF CHICAGO,3123026502,"SUTTON, SAUL",12/28/2020
1294376168,10/01/2020,12/31/2020,5861,THOMAS,S,MOORE,ZONING MAP AMENDMENT,1050.00,11/23/2020,FILING FEE,CITY OF CHICAGO,1637877340,"CHUNG, HELENA",12/28/2020
4155533292,10/01/2020,12/31/2020,5861,THOMAS,S,MOORE,SPECIAL USE,1025.00,12/21/2020,FILING FEE,CITY OF CHICAGO,4242000520,"DIMARSKY, RABBI ELIEZER",12/28/2020
2915049409,10/01/2020,12/31/2020,5861,THOMAS,S,MOORE,"VARIATION, SPECIAL USE",2025.00,11/24/2020,FILING FEE,CITY OF CHICAGO,1911893145,"KERIBAR, ALAN",12/28/2020
3734779426,10/01/2020,12/31/2020,5861,THOMAS,S,MOORE,VARIATION,1525.00,12/21/2020,FILING FEE,CITY OF CHICAGO,3985290361,"BALDWIN, SHARON",12/28/2020
1894013462,10/01/2020,12/31/2020,5861,THOMAS,S,MOORE,ZONING MAP AMENDMENT,1050.00,11/24/2020,FILING FEE,CITY OF CHICAGO,400243984,"DERNIS, GEORGE",12/28/2020
2764926733,10/01/2020,12/31/2020,5861,THOMAS,S,MOORE,VARIATION,1025.00,10/02/2020,FILING FEE,CITY OF CHICAGO,666874907,"NELSON, GEORGE",12/28/2020
3260501504,10/01/2020,12/31/2020,5861,THOMAS,S,MOORE,ZONING MAP AMENDMENT,1025.00,11/30/2020,FILING FEE,CITY OF CHICAGO,4197956416,"POP, MARIUS",12/28/2020
3840793148,10/01/2020,12/31/2020,5861,THOMAS,S,MOORE,VARIATION,525.00,10/21/2020,FILING FEE,CITY OF CHICAGO,2296370413,"GRAHAM, THOMAS",12/28/2020
1060188419,10/01/2020,12/31/2020,5861,THOMAS,S,MOORE,VARIATION,525.00,10/14/2020,FILING FEE,CITY OF CHICAGO,1911893145,"KERIBAR, ALAN",12/28/2020
181792202,10/01/2020,12/31/2020,5861,THOMAS,S,MOORE,SPECIAL USE,1025.00,10/19/2020,FILING FEE,CITY OF CHICAGO,257678610,"HOLLIS, GUY",12/28/2020
4129995594,10/01/2020,12/31/2020,25106,KIN,,WONG,CONTRACT AWARD,500.00,12/01/2020,CONFERENCE,BOB SMITH,2484267210,YWCA METROPOLITAN CHICAGO,01/04/2021
2487684563,10/01/2020,12/31/2020,9082,JOSEPH,E,PILEWSKI,LOBBYIST REGISTRATION,306.75,09/16/2020,STATE LOBBYIST REGISTRATION,"IL SECRETARY OF STATE, SPRINGFIELD, IL",3276416627,REFLECTION WINDOW COMPANY,01/18/2021
833972963,04/01/2020,06/30/2020,6561,RICHARD,,TOTH,MASS MAILING,252.50,05/04/2020,POSTAGE,"DALEY AND GEORGES, 20 S. CLARK STREET, LAW FIRM",3675058662,"GARFIELD'S BEVERAGE C1, LLC",01/19/2021
2827565950,04/01/2020,06/30/2020,6561,RICHARD,,TOTH,TAX ASSESSEE LISTING REPORT,300.00,05/07/2020,TAX ASSESSEE LISTING REPORT,"XPRESS SERVICE, 1130 S. WABASH CHICAGO",3675058662,"GARFIELD'S BEVERAGE C1, LLC",01/19/2021
